S&P 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,,,,,,,Energy,,,,,,,Materials,,,,,,,Industrials,,,,,,,Consumer Disc,,,,,,,Consumer Staples,,,,,,,Health Care,,,,,,,Financials,,,,,,,Info Tech,,,,,,,Telecom,,,,,,,Utilities,,,,,
Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume
2019/08/07,2881.56,2881.56,2881.56,2881.56,1000,,2019/08/07,429.08,429.08,429.08,429.08,1000,,2019/08/07,357.46,357.46,357.46,357.46,1000,,2019/08/07,629.32,629.32,629.32,629.32,1000,,2019/08/07,923.86,923.86,923.86,923.86,1000,,2019/08/07,605.27,605.27,605.27,605.27,1000,,2019/08/07,1040.86,1040.86,1040.86,1040.86,1000,,2019/08/07,443.89,443.89,443.89,443.89,1000,,2019/08/07,1359.7,1359.7,1359.7,1359.7,1000,,2019/08/07,163.64,163.64,163.64,163.64,1000,,2019/08/07,305.06,305.06,305.06,305.06,1000
2019/08/06,2881.77,2881.77,2881.77,2881.77,1000,,2019/08/06,432.35,432.35,432.35,432.35,1000,,2019/08/06,352.8,352.8,352.8,352.8,1000,,2019/08/06,630.03,630.03,630.03,630.03,1000,,2019/08/06,920.9623,920.9623,920.9623,920.9623,1000,,2019/08/06,598.32,598.32,598.32,598.32,1000,,2019/08/06,1041.18,1041.18,1041.18,1041.18,1000,,2019/08/06,449.34,449.34,449.34,449.34,1000,,2019/08/06,1351.07,1351.07,1351.07,1351.07,1000,,2019/08/06,164.33,164.33,164.33,164.33,1000,,2019/08/06,304.4,304.4,304.4,304.4,1000
2019/08/05,2844.74,2844.74,2844.74,2844.74,1000,,2019/08/05,432.63,432.63,432.63,432.63,1000,,2019/08/05,352.51,352.51,352.51,352.51,1000,,2019/08/05,620.74,620.74,620.74,620.74,1000,,2019/08/05,907.6737,907.6737,907.6737,907.6737,1000,,2019/08/05,592.59,592.59,592.59,592.59,1000,,2019/08/05,1028.13,1028.13,1028.13,1028.13,1000,,2019/08/05,442.67,442.67,442.67,442.67,1000,,2019/08/05,1329.68,1329.68,1329.68,1329.68,1000,,2019/08/05,162.14,162.14,162.14,162.14,1000,,2019/08/05,300.49,300.49,300.49,300.49,1000
2019/08/02,2932.05,2932.05,2932.05,2932.05,1000,,2019/08/02,445.85,445.85,445.85,445.85,1000,,2019/08/02,359.06,359.06,359.06,359.06,1000,,2019/08/02,638.4,638.4,638.4,638.4,1000,,2019/08/02,933.1246,933.1246,933.1246,933.1246,1000,,2019/08/02,608.99,608.99,608.99,608.99,1000,,2019/08/02,1052.76,1052.76,1052.76,1052.76,1000,,2019/08/02,457.56,457.56,457.56,457.56,1000,,2019/08/02,1386.07,1386.07,1386.07,1386.07,1000,,2019/08/02,167.01,167.01,167.01,167.01,1000,,2019/08/02,305.1,305.1,305.1,305.1,1000
2019/08/01,2953.56,2953.56,2953.56,2953.56,1000,,2019/08/01,451.93,451.93,451.93,451.93,1000,,2019/08/01,363.47,363.47,363.47,363.47,1000,,2019/08/01,642.57,642.57,642.57,642.57,1000,,2019/08/01,941.6981,941.6981,941.6981,941.6981,1000,,2019/08/01,608.27,608.27,608.27,608.27,1000,,2019/08/01,1055.1,1055.1,1055.1,1055.1,1000,,2019/08/01,458.55,458.55,458.55,458.55,1000,,2019/08/01,1409.78,1409.78,1409.78,1409.78,1000,,2019/08/01,168.35,168.35,168.35,168.35,1000,,2019/08/01,304.94,304.94,304.94,304.94,1000
2019/07/31,2980.38,2980.38,2980.38,2980.38,1000,,2019/07/31,462.47,462.47,462.47,462.47,1000,,2019/07/31,365.54,365.54,365.54,365.54,1000,,2019/07/31,655.57,655.57,655.57,655.57,1000,,2019/07/31,954.0943,954.0943,954.0943,954.0943,1000,,2019/07/31,611.23,611.23,611.23,611.23,1000,,2019/07/31,1054.04,1054.04,1054.04,1054.04,1000,,2019/07/31,469.45,469.45,469.45,469.45,1000,,2019/07/31,1417.35,1417.35,1417.35,1417.35,1000,,2019/07/31,169.18,169.18,169.18,169.18,1000,,2019/07/31,301.9,301.9,301.9,301.9,1000
2019/07/30,3013.18,3013.18,3013.18,3013.18,1000,,2019/07/30,464.95,464.95,464.95,464.95,1000,,2019/07/30,371.05,371.05,371.05,371.05,1000,,2019/07/30,662.55,662.55,662.55,662.55,1000,,2019/07/30,965.4779,965.4779,965.4779,965.4779,1000,,2019/07/30,623.64,623.64,623.64,623.64,1000,,2019/07/30,1064.57,1064.57,1064.57,1064.57,1000,,2019/07/30,471.49,471.49,471.49,471.49,1000,,2019/07/30,1438.48,1438.48,1438.48,1438.48,1000,,2019/07/30,171.08,171.08,171.08,171.08,1000,,2019/07/30,303.49,303.49,303.49,303.49,1000
2019/07/29,3020.97,3020.97,3020.97,3020.97,1000,,2019/07/29,459.92,459.92,459.92,459.92,1000,,2019/07/29,368.87,368.87,368.87,368.87,1000,,2019/07/29,660.02,660.02,660.02,660.02,1000,,2019/07/29,972.1676,972.1676,972.1676,972.1676,1000,,2019/07/29,622.5,622.5,622.5,622.5,1000,,2019/07/29,1069.15,1069.15,1069.15,1069.15,1000,,2019/07/29,472.36,472.36,472.36,472.36,1000,,2019/07/29,1448.58,1448.58,1448.58,1448.58,1000,,2019/07/29,172.23,172.23,172.23,172.23,1000,,2019/07/29,305.83,305.83,305.83,305.83,1000
2019/07/26,3025.86,3025.86,3025.86,3025.86,1000,,2019/07/26,461.46,461.46,461.46,461.46,1000,,2019/07/26,370.11,370.11,370.11,370.11,1000,,2019/07/26,661.19,661.19,661.19,661.19,1000,,2019/07/26,977.8499,977.8499,977.8499,977.8499,1000,,2019/07/26,620.94,620.94,620.94,620.94,1000,,2019/07/26,1064.81,1064.81,1064.81,1064.81,1000,,2019/07/26,476.09,476.09,476.09,476.09,1000,,2019/07/26,1449.31,1449.31,1449.31,1449.31,1000,,2019/07/26,173.05,173.05,173.05,173.05,1000,,2019/07/26,304.33,304.33,304.33,304.33,1000
2019/07/25,3003.67,3003.67,3003.67,3003.67,1000,,2019/07/25,463.77,463.77,463.77,463.77,1000,,2019/07/25,369.95,369.95,369.95,369.95,1000,,2019/07/25,662.3,662.3,662.3,662.3,1000,,2019/07/25,975.6912,975.6912,975.6912,975.6912,1000,,2019/07/25,613.65,613.65,613.65,613.65,1000,,2019/07/25,1060.39,1060.39,1060.39,1060.39,1000,,2019/07/25,471.42,471.42,471.42,471.42,1000,,2019/07/25,1441.26,1441.26,1441.26,1441.26,1000,,2019/07/25,167.61,167.61,167.61,167.61,1000,,2019/07/25,303.08,303.08,303.08,303.08,1000
